prediction_time,Province,selected_model_1h,selected_model_status_1h,selected_model_6h,selected_risk_score_6h,selected_risk_percentile_6h,selected_risk_level_6h,selected_model_status_6h,selected_model_24h,selected_risk_score_24h,selected_risk_percentile_24h,selected_risk_level_24h,selected_model_status_24h,planned_known_now,planned_known_next_1h,planned_known_next_6h,planned_known_next_24h,hours_to_next_known_planned_outage
2024-01-02 07:00:00,FIANARANTSOA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0066025933653598,72.56021002168703,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0,33.74614770003424,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 07:00:00,MAHAJANGA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.5674614017556756,91.18822052277136,MODERATE,EXPERIMENTAL,RANDOM_FOREST,0.4633417425862019,49.75459422440361,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 07:00:00,TOAMASINA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.018542480757608,45.04622759958909,LOW,EXPERIMENTAL,RANDOM_FOREST,0.4538863687669685,56.1123159456683,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 07:00:00,TOLIARY,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0071349676842463,44.16162538523,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0,30.92112772514553,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 08:00:00,ANTANANARIVO,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0061686495685353,23.05672868394019,LOW,EXPERIMENTAL,RANDOM_FOREST,0.1606530514533315,52.208651980367534,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 08:00:00,ANTSIRANANA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0074232535209321,49.075448008218245,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0001567194478278,31.714416162538523,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 08:00:00,FIANARANTSOA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0119081509994379,91.05124985732222,MODERATE,EXPERIMENTAL,RANDOM_FOREST,0.0,33.74614770003424,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 08:00:00,MAHAJANGA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.7963727291638933,95.81098048168018,HIGH,EXPERIMENTAL,RANDOM_FOREST,0.4991529023634327,56.88848304988014,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 08:00:00,TOAMASINA,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0190216313163398,45.89088003652551,LOW,EXPERIMENTAL,RANDOM_FOREST,0.4656778047143772,58.577787923753,LOW,MVP_CANDIDATE,0,0,0,0,
2024-01-02 08:00:00,TOLIARY,UNAVAILABLE,INSUFFICIENT_LOCAL_DATA,HIST_GRADIENT_BOOSTING,0.0072212257774323,45.73678803789522,LOW,EXPERIMENTAL,RANDOM_FOREST,0.0,30.92112772514553,LOW,MVP_CANDIDATE,0,0,0,0,
